Id;Name;Electron;Symbol;Masse;Year;Scientist;Country;Fusion;Ebullition
66;Dysprosium;66;Dy;160,500;1886;No Information;France;1 412 °C;2 567 °C
67;Holmium;67;Ho;164,93032;1878;Per Teodor Cleve, Jacques-Louis Soret, Marc Delafontaine;Suède, Suisse;1 472 °C;2 700 °C
68;Erbium;68;Er;167,259;1842;No Information;Suède;1 529 °C;2 868 °C
69;Thulium;69;Tm;168,93421;1879;No Information;Suède;1 545 °C;1 950 °C
70;Ytterbium;70;Yb;173,04;1878;No Information;Suisse;824 °C;1 196 °C
71;Lutécium;71;Lu;174,967;1907;No Information;France et Allemagne;1 663 °C;3 402 °C
72;Hafnium;72;Hf;178,49;1923;George de Hevesy, Dirk Coster;Danemark;2 233 °C;4 603 °C
73;Tantale;73;Ta;180,94788;1802;No Information;Suède;3 017 °C;5 458 °C
74;Tungstène;74;W;183,84;1783;No Information;Espagne;3 422 °C;5 555 °C
75;Rhénium;75;Re;186,207;1925;No Information;Allemagne;3 185 °C;5 596 °C
76;Osmium;76;Os;190,23;1803;No Information;Grande-Bretagne;3 033 °C;5 012 °C
77;Iridium;77;Ir;192,217;1803;No Information;Grande-Bretagne et France;2 446 °C;4 428 °C
78;Platine;78;Pt;195,084;1735;Antonio de Ulloa;Italie;1 768,2 °C;3 825 °C
79;Or;79;Au;196,966569;Antiquité;No Information;No Information;1 064,18 °C;2 856 °C
80;Mercure;80;Hg;200,59;Antiquité;No Information;No Information;-38,842 °C;356,62 °C
81;Thallium;81;Tl;204,3833;1861;No Information;Grande-Bretagne;304 °C;1 473 °C
82;Plomb;82;Pb;207,2;Antiquité;No Information;No Information;327,46 °C;1 749 °C
83;Bismuth;83;Bi;208,98040;1753;Jabir Ibn Hayyan;France;271,4 °C;1 564 °C
84;Polonium;84;Po;-209;1898;Marie Curie, Pierre Curie;France;254 °C;962 °C
85;Astate;85;At;210;1940;No Information;États-Unis;302 °C;No Information
86;Radon;86;Rn;-222;1900;No Information;Allemagne;-71 °C;-61,7 °C
87;Francium;87;Fr;-223;1939;No Information;France;27 °C;No Information
88;Radium;88;Ra;226,0254;1898;Pierre Curie, Marie Curie;France;696 °C;1 736,85 °C
89;Actinium;89;Ac;227;1899;No Information;France;1 050 °C;3 198 °C
90;Thorium;90;Th;232,03806;1828;No Information;Suède;1 750 °C;4 788 °C
91;Protactinium;91;Pa;231,03588;1913;No Information;Grande-Bretagne;1 572 °C;4 026,85 °C
92;Uranium;92;U;238,02891;1789;No Information;Grande-Bretagne;No Information;No Information
93;Neptunium;93;Np;237;1940;No Information;États-Unis;644 °C;3 999,85 °C
94;Plutonium;94;Pu;244,06;1940;Arthur Wahl, Edwin McMillan, Glenn Theodore Seaborg, Joseph W. Kennedy;États-Unis;640 °C;3 228 °C
95;Américium;95;Am;241,06;1944;No Information;États-Unis;1 176 °C;2 011 °C
96;Curium;96;Cm;247;1944;No Information;États-Unis;1 345 °C;3 109,85 °C
97;Berkélium;97;Bk;247;1949;No Information;États-Unis;996 °C;No Information
98;Californium;98;Cf;251;1950;Albert Ghiorso, Glenn Theodore Seaborg;États-Unis;900 °C;1 469,85 °C
99;Einsteinium;99;Es;252;1952;Albert Ghiorso;États-Unis;859,85 °C;No Information
100;Fermium;100;Fm;257;1952;No Information;États-Unis;1 527 °C;No Information
101;Mendélévium;101;Md;258;1955;No Information;États-Unis;827 °C;No Information
102;Nobélium;102;No;259;1958;No Information;Suède et États-Unis;No Information;No Information
103;Lawrencium;103;Lr;-262;1961;No Information;États-Unis;No Information;No Information
104;Rutherfordium;104;Rf;261;1964;No Information;Russie et États-Unis;No Information;No Information
105;Dubnium;105;Db;262;1967;No Information;Russie et États-Unis;No Information;No Information
106;Seaborgium;106;Sg;266;1974;No Information;Russie et États-Unis;No Information;No Information
107;Bohrium;107;Bh;264;1981;No Information;Allemagne;No Information;No Information
108;Hassium;108;Hs;269;1984;No Information;Allemagne;No Information;No Information
109;Meitnérium;109;Mt;268;1982;No Information;Allemagne;No Information;No Information
110;Darmstadtium;110;Ds;281;1994;No Information;Allemagne;No Information;No Information
111;Roentgenium;111;Rg;280;1994;No Information;Allemagne;No Information;No Information
112;Copernicium;112;Cn;285;1996;No Information;Allemagne;No Information;No Information
113;Ununtrium;113;Uut;-284;No Information;No Information;No Information;No Information;No Information
114;Flérovium;114;Fl;-289;1998;No Information;No Information;No Information;No Information
115;Ununpentium;115;Uup;-288;2004;No Information;No Information;No Information;No Information
116;Livermorium;116;Lv;-293;2000;No Information;No Information;No Information;No Information
117;Ununseptium;117;Uus;-291;2010;No Information;No Information;No Information;No Information
118;Ununoctium;118;Uuo;294;No Information;No Information;No Information;No Information;No Information
